client\scripts\generate-icons.js:1	<no-rule-id>	Unused eslint-disable directive (no problems were reported from 'no-undef').
client\src\components\layout\MobileLayout.tsx:44	@typescript-eslint/no-unused-vars	'displayLocation' is assigned a value but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\layout\MobileNav.tsx:78	@typescript-eslint/no-unused-vars	'index' is defined but never used. Allowed unused args must match /^_/u.
client\src\components\layout\Sidebar.tsx:206	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'currentAccount'. Either include it or remove the dependency array.
client\src\components\layout\Sidebar.tsx:296	@typescript-eslint/no-unused-vars	'index' is defined but never used. Allowed unused args must match /^_/u.
client\src\components\marketing\ActionableChangeCard.tsx:11	@typescript-eslint/no-unused-vars	'CheckCircle2' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\ActionableChangeCard.tsx:116	@typescript-eslint/no-unused-vars	'onApply' is defined but never used. Allowed unused args must match /^_/u.
client\src\components\marketing\ActionableRecommendationCard.tsx:4	@typescript-eslint/no-unused-vars	'TrendingDown' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\ActionableRecommendationCard.tsx:9	@typescript-eslint/no-unused-vars	'ArrowRight' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\ActionableRecommendationCard.tsx:14	@typescript-eslint/no-unused-vars	'MinusCircle' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\ActionableRecommendationCard.tsx:18	@typescript-eslint/no-unused-vars	'BudgetAction' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\ActionableRecommendationCard.tsx:19	@typescript-eslint/no-unused-vars	'KeywordAction' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\ActionableRecommendationCard.tsx:20	@typescript-eslint/no-unused-vars	'ProductAction' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\AdContextModal.tsx:30	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchContext'. Either include it or remove the dependency array.
client\src\components\marketing\AdPerformanceView.tsx:6	@typescript-eslint/no-unused-vars	'RefreshCw' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\AdPerformanceView.tsx:6	@typescript-eslint/no-unused-vars	'AlertCircle' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\AdPerformanceView.tsx:53	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchAccounts'. Either include it or remove the dependency array.
client\src\components\marketing\flow\ActionSelectorModal.tsx:6	@typescript-eslint/no-unused-vars	'Database' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\flow\EventSelectorModal.tsx:6	@typescript-eslint/no-unused-vars	'UserPlus' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\flow\EventSelectorModal.tsx:6	@typescript-eslint/no-unused-vars	'Star' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\flow\EventSelectorModal.tsx:6	@typescript-eslint/no-unused-vars	'Eye' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\flow\EventSelectorModal.tsx:6	@typescript-eslint/no-unused-vars	'Tag' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\flow\recipeData.tsx:25	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\components\marketing\flow\RecipeSelectorModal.tsx:6	@typescript-eslint/no-unused-vars	'X' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\StrategicThemeCard.tsx:12	@typescript-eslint/no-unused-vars	'TrendingUp' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\marketing\StrategicThemeCard.tsx:17	@typescript-eslint/no-unused-vars	'Zap' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\mobile\MobileErrorBoundary.test.tsx:2	@typescript-eslint/no-unused-vars	'Logger' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\mobile\PWAUpdateModal.tsx:18	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\components\mobile\PWAUpdateModal.tsx:151	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\components\mobile\PWAUpdateModal.tsx:180	react-hooks/immutability	Error: Cannot access variable before it is declared  `checkVersion` is accessed before it is declared, which prevents the earlier access from updating when this value changes over time.  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\mobile\PWAUpdateModal.tsx:180:9   178 |   179 |         // Check version on mount > 180 |         checkVersion();       |         ^^^^^^^^^^^^ `checkVersion` accessed before it is declared   181 |   182 |         return () => {   183 |             navigator.serviceWorker?.removeEventListener('message', handleSWUpdate);  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\mobile\PWAUpdateModal.tsx:187:5   185 |     }, []);   186 | > 187 |     const checkVersion = async () => {       |     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 188 |         try {       | ^^^^^^^^^^^^^ > 189 |             // Check version from server       …       | ^^^^^^^^^^^^^ > 240 |         localStorage.setItem('pwa-version', APP_VERSION);       | ^^^^^^^^^^^^^ > 241 |     };       | ^^^^^^^ `checkVersion` is declared here   242 |   243 |     const handleUpdate = () => {   244 |         // Clear caches and reload
client\src\components\mobile\SwipeableListItem.tsx:172	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\components\onboarding\steps\PluginStep.tsx:9	@typescript-eslint/no-unused-vars	'ExternalLink' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\onboarding\steps\ReviewStep.tsx:10	@typescript-eslint/no-unused-vars	'STEP_CONFIG' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\onboarding\steps\ReviewStep.tsx:24	@typescript-eslint/no-unused-vars	'setDraft' is defined but never used. Allowed unused args must match /^_/u.
client\src\components\orders\FraudBadge.tsx:31	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchFraudScore'. Either include it or remove the dependency array.
client\src\components\orders\FraudIcon.tsx:5	@typescript-eslint/no-unused-vars	'useEffect' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\orders\OrderCOGSPanel.tsx:56	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchCOGS'. Either include it or remove the dependency array.
client\src\components\orders\OrderMetaSection.tsx:39	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\components\orders\OrderMetaSection.tsx:67	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\components\orders\OrderStatusTabs.tsx:12	@typescript-eslint/no-unused-vars	'ORDER_STATUS_CONFIG' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\orders\OrderTagPanel.tsx:41	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'loadMappings'. Either include it or remove the dependency array.
client\src\components\products\StockManagementPanel.tsx:108	react-hooks/exhaustive-deps	The 'handleSave' function makes the dependencies of useImperativeHandle Hook (at line 205) change on every render. To fix this, wrap the definition of 'handleSave' in its own useCallback() Hook.
client\src\components\reports\ReportConfigPanel.tsx:3	@typescript-eslint/no-unused-vars	'ReportDimension' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\reports\ReportConfigPanel.tsx:3	@typescript-eslint/no-unused-vars	'ReportMetric' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\segments\SegmentBuilder.tsx:2	@typescript-eslint/no-unused-vars	'useEffect' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\segments\SegmentBuilder.tsx:3	@typescript-eslint/no-unused-vars	'X' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\Seo\KeywordTrackerPanel.tsx:374	react-hooks/exhaustive-deps	The 'history' logical expression could make the dependencies of useMemo Hook (at line 407) change on every render. To fix this, wrap the initialization of 'history' in its own useMemo() Hook.
client\src\components\Seo\KeywordTrackerPanel.tsx:374	react-hooks/exhaustive-deps	The 'history' logical expression could make the dependencies of useMemo Hook (at line 422) change on every render. To fix this, wrap the initialization of 'history' in its own useMemo() Hook.
client\src\components\Seo\MerchantCenterPanel.tsx:14	@typescript-eslint/no-unused-vars	'score' is defined but never used. Allowed unused args must match /^_/u.
client\src\components\Seo\SeoAnalysisPanel.tsx:1	@typescript-eslint/no-unused-vars	'XCircle' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\Seo\SeoAnalysisPanel.tsx:1	@typescript-eslint/no-unused-vars	'ArrowRight' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\Seo\SeoAnalysisPanel.tsx:16	@typescript-eslint/no-unused-vars	'focusKeyword' is defined but never used. Allowed unused args must match /^_/u.
client\src\components\settings\AdAccountCard.tsx:6	@typescript-eslint/no-unused-vars	'Loader2' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\settings\AdAccountModals.tsx:6	@typescript-eslint/no-unused-vars	'X' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\settings\AdAccountSettings.tsx:45	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchAccounts'. Either include it or remove the dependency array.
client\src\components\settings\AdAccountSettings.tsx:180	react-hooks/exhaustive-deps	React Hook useEffect has missing dependencies: 'fetchAccounts' and 'showToast'. Either include them or remove the dependency array.
client\src\components\settings\EmailLogPanel.tsx:67	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchLogs'. Either include it or remove the dependency array.
client\src\components\settings\InventoryAlertsSettings.tsx:24	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchSettings'. Either include it or remove the dependency array.
client\src\components\settings\OrderTagSettings.tsx:36	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'loadData'. Either include it or remove the dependency array.
client\src\components\settings\SessionManager.tsx:37	react-hooks/exhaustive-deps	React Hook useEffect has a missing dependency: 'fetchSessions'. Either include it or remove the dependency array.
client\src\components\settings\TrackingScriptHelper.tsx:29	@typescript-eslint/no-unused-vars	'setCopied' is assigned a value but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\settings\TrackingScriptHelper.tsx:29	@typescript-eslint/no-unused-vars	'copied' is assigned a value but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\settings\TrackingScriptHelper.tsx:52	react-hooks/purity	Error: Cannot call impure function during render  `Math.random` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent).  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\settings\TrackingScriptHelper.tsx:52:57   50 |         try {   51 |             // Generate a test visitor ID > 52 |             const testVisitorId = `test-${Date.now()}-${Math.random().toString(36).substring(2, 9)}`;      |                                                         ^^^^^^^^^^^^^ Cannot call impure function   53 |   54 |             // Send a test pageview event directly to the tracking endpoint   55 |             await fetch(`${apiUrl}/api/tracking/events`, {
client\src\components\settings\TrackingScriptHelper.tsx:52	react-hooks/purity	Error: Cannot call impure function during render  `Date.now` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent).  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\settings\TrackingScriptHelper.tsx:52:43   50 |         try {   51 |             // Generate a test visitor ID > 52 |             const testVisitorId = `test-${Date.now()}-${Math.random().toString(36).substring(2, 9)}`;      |                                           ^^^^^^^^^^ Cannot call impure function   53 |   54 |             // Send a test pageview event directly to the tracking endpoint   55 |             await fetch(`${apiUrl}/api/tracking/events`, {
client\src\components\sync\SyncStatus.tsx:58	@typescript-eslint/no-unused-vars	'setSyncBOM' is assigned a value but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\sync\SyncStatus.tsx:80	@typescript-eslint/no-unused-vars	'toggleFullSync' is assigned a value but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\ui\BottomSheet.tsx:22	@typescript-eslint/no-unused-vars	'snapPoints' is assigned a value but never used. Allowed unused args must match /^_/u.
client\src\components\ui\Pagination.tsx:74	react-hooks/static-components	Error: Cannot create components during render  Components created during render will reset their state each time they are created. Declare components outside of render.  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\ui\Pagination.tsx:74:18   72 |             {/* Pagination Controls */}   73 |             <div className="flex items-center gap-2"> > 74 |                 <Button      |                  ^^^^^^ This component is created during render   75 |                     onClick={() => onPageChange(1)}   76 |                     disabled={isFirstPage}   77 |                     title="First Page"  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\ui\Pagination.tsx:26:20   24 |     const isLastPage = currentPage >= totalPages;   25 | > 26 |     const Button = ({      |                    ^^ > 27 |         onClick,      | ^^^^^^^^^^^^^^^^ > 28 |         disabled,      …      | ^^^^^^^^^^^^^^^^ > 47 |         </button>      | ^^^^^^^^^^^^^^^^ > 48 |     );      | ^^^^^^ The component is created during render here   49 |   50 |     return (   51 |         <div className={cn("flex flex-wrap items-center justify-between gap-4 p-4 pr-24 bg-slate-50 border-t border-slate-100", className)}>
client\src\components\ui\Pagination.tsx:82	react-hooks/static-components	Error: Cannot create components during render  Components created during render will reset their state each time they are created. Declare components outside of render.  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\ui\Pagination.tsx:82:18   80 |                 </Button>   81 | > 82 |                 <Button      |                  ^^^^^^ This component is created during render   83 |                     onClick={() => onPageChange(currentPage - 1)}   84 |                     disabled={isFirstPage}   85 |                     title="Previous Page"  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\ui\Pagination.tsx:26:20   24 |     const isLastPage = currentPage >= totalPages;   25 | > 26 |     const Button = ({      |                    ^^ > 27 |         onClick,      | ^^^^^^^^^^^^^^^^ > 28 |         disabled,      …      | ^^^^^^^^^^^^^^^^ > 47 |         </button>      | ^^^^^^^^^^^^^^^^ > 48 |     );      | ^^^^^^ The component is created during render here   49 |   50 |     return (   51 |         <div className={cn("flex flex-wrap items-center justify-between gap-4 p-4 pr-24 bg-slate-50 border-t border-slate-100", className)}>
client\src\components\ui\Pagination.tsx:94	react-hooks/static-components	Error: Cannot create components during render  Components created during render will reset their state each time they are created. Declare components outside of render.  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\ui\Pagination.tsx:94:18   92 |                 </span>   93 | > 94 |                 <Button      |                  ^^^^^^ This component is created during render   95 |                     onClick={() => onPageChange(currentPage + 1)}   96 |                     disabled={isLastPage}   97 |                     title="Next Page"  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\ui\Pagination.tsx:26:20   24 |     const isLastPage = currentPage >= totalPages;   25 | > 26 |     const Button = ({      |                    ^^ > 27 |         onClick,      | ^^^^^^^^^^^^^^^^ > 28 |         disabled,      …      | ^^^^^^^^^^^^^^^^ > 47 |         </button>      | ^^^^^^^^^^^^^^^^ > 48 |     );      | ^^^^^^ The component is created during render here   49 |   50 |     return (   51 |         <div className={cn("flex flex-wrap items-center justify-between gap-4 p-4 pr-24 bg-slate-50 border-t border-slate-100", className)}>
client\src\components\ui\Pagination.tsx:102	react-hooks/static-components	Error: Cannot create components during render  Components created during render will reset their state each time they are created. Declare components outside of render.  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\ui\Pagination.tsx:102:18   100 |                 </Button>   101 | > 102 |                 <Button       |                  ^^^^^^ This component is created during render   103 |                     onClick={() => onPageChange(totalPages)}   104 |                     disabled={isLastPage}   105 |                     title="Last Page"  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\ui\Pagination.tsx:26:20   24 |     const isLastPage = currentPage >= totalPages;   25 | > 26 |     const Button = ({      |                    ^^ > 27 |         onClick,      | ^^^^^^^^^^^^^^^^ > 28 |         disabled,      …      | ^^^^^^^^^^^^^^^^ > 47 |         </button>      | ^^^^^^^^^^^^^^^^ > 48 |     );      | ^^^^^^ The component is created during render here   49 |   50 |     return (   51 |         <div className={cn("flex flex-wrap items-center justify-between gap-4 p-4 pr-24 bg-slate-50 border-t border-slate-100", className)}>
client\src\components\ui\SavedViewsDropdown.tsx:76	@typescript-eslint/no-unused-vars	'savedView' is assigned a value but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\ui\Skeleton.tsx:127	react-hooks/purity	Error: Cannot call impure function during render  `Math.random` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent).  C:\Users\ratte\Desktop\OverSeekv2\client\src\components\ui\Skeleton.tsx:127:44   125 |                         <Skeleton   126 |                             className="h-4" > 127 |                             width={`${60 + Math.random() * 40}%`}       |                                            ^^^^^^^^^^^^^ Cannot call impure function   128 |                         />   129 |                     )}   130 |                 </td>
client\src\components\widgets\AnalyticsStatsWidget.tsx:17	@typescript-eslint/no-unused-vars	'AnalyticsStatsWidgetProps' is defined but never used. Allowed unused vars must match /^_|^err$|^error$|^e$|^i$|^j$|^k$/u.
client\src\components\widgets\AnalyticsStatsWidget.tsx:87	@typescript-eslint/no-unused-vars	'i' is defined but never used. Allowed unused args must match /^_/u.
client\src\components\widgets\GoldPriceMarginWidget.tsx:31	@typescript-eslint/no-unused-vars	'className' is defined but never used. Allowed unused args must match /^_/u.
client\src\components\widgets\GoldPriceMarginWidget.tsx:61	react-hooks/exhaustive-deps	React Hook useCallback has a missing dependency: 'currentAccount'. Either include it or remove the dependency array.
client\src\components\widgets\LiveCartsWidget.tsx:65	react-hooks/exhaustive-deps	React Hook useCallback has a missing dependency: 'currentAccount'. Either include it or remove the dependency array.
client\src\components\widgets\OpenInboxWidget.tsx:42	react-hooks/exhaustive-deps	React Hook useCallback has a missing dependency: 'currentAccount'. Either include it or remove the dependency array.
client\src\components\widgets\VisitorCountWidget.tsx:57	react-hooks/exhaustive-deps	React Hook useCallback has a missing dependency: 'currentAccount'. Either include it or remove the dependency array.
client\src\components\widgets\WidgetRegistry.tsx:55	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Move your component(s) to a separate file.
client\src\context\AccountContext.tsx:220	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\context\AuthContext.tsx:101	react-hooks/immutability	Error: Cannot access variable before it is declared  `scheduleRefresh` is accessed before it is declared, which prevents the earlier access from updating when this value changes over time.  C:\Users\ratte\Desktop\OverSeekv2\client\src\context\AuthContext.tsx:101:21    99 |                 const newToken = localStorage.getItem('token');   100 |                 if (newToken) { > 101 |                     scheduleRefresh(newToken);       |                     ^^^^^^^^^^^^^^^ `scheduleRefresh` accessed before it is declared   102 |                 }   103 |             }   104 |         }, refreshIn);  C:\Users\ratte\Desktop\OverSeekv2\client\src\context\AuthContext.tsx:81:5    79 |    80 |     // EDGE CASE FIX: Schedule next refresh before token expires >  81 |     const scheduleRefresh = useCallback((accessToken: string) => {       |     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ >  82 |         // Clear any existing timeout       | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ >  83 |         if (refreshTimeoutRef.current) {       …       | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 104 |         }, refreshIn);       | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ > 105 |     }, [silentRefresh]);       | ^^^^^^^^^^^^^^^^^^^^^^^^^ `scheduleRefresh` is declared here   106 |   107 |     useEffect(() => {   108 |         // Basic verification on load
client\src\context\AuthContext.tsx:186	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
client\src\context\SocketContext.tsx:18	react-refresh/only-export-components	Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
